Date,AAPL,MSFT,AMZN,NVDA,TSLA,BRK-B,GOOG,XOM,UNH,JPM,JNJ,META,V,PG,HD,MA,CVX,ABBV,MRK,LLY,AVGO,BAC,PEP,KO,PFE,COST,TMO,WMT,CSCO,MCD
1/8/2019,50.701103,132.794647,88.814499,41.660992,15.040667,203.410004,59.404999,55.652084,222.242249,98.723221,116.23983,185.669998,176.378693,110.279961,210.112991,276.089081,99.274132,55.858261,73.765297,106.069633,249.473831,25.380589,123.991722,49.377254,29.367844,279.069031,284.815735,107.895248,41.971745,199.838257
1/9/2019,54.607025,134.36763,86.795502,43.335365,16.058001,208.020004,60.950001,58.096565,206.400391,105.759476,118.041481,178.080002,168.027237,114.086517,213.902069,266.473022,101.044388,64.338104,71.811768,105.587875,243.674744,26.912096,124.327271,48.838982,29.959446,273.376434,288.992889,112.620689,44.303009,197.89032
1/10/2019,60.651176,138.562057,88.833,50.04467,20.994667,212.580002,63.005501,55.59531,241.13443,112.256554,120.468338,191.649994,174.718597,114.205772,217.582779,271.614746,98.948555,67.592407,74.418694,107.589546,260.864136,29.039692,125.250381,49.187023,31.993994,281.916168,299.810608,111.273193,42.599396,181.291138
1/11/2019,65.159294,146.303452,90.040001,53.958225,21.996,220.300003,65.248001,56.056072,267.060852,119.351662,125.44075,201.639999,180.237778,112.673683,204.532257,287.093384,99.792,75.629776,74.865227,110.799751,281.672699,30.94348,124.026794,48.256233,32.119064,285.09613,311.69455,113.009743,40.934494,179.245071
1/12/2019,71.810928,152.930099,92.391998,58.622032,27.888666,226.5,66.850998,58.106056,280.525146,126.272163,134.008377,205.25,183.856735,115.295288,202.55661,293.341614,103.683357,76.328049,78.102699,124.807571,281.50354,32.707958,124.793808,50.392025,32.985123,279.495239,322.536041,112.772522,43.328594,183.297089
1/1/2020,75.689423,165.081146,100.435997,58.903549,43.371334,224.429993,71.711502,51.727547,260.980011,119.895157,136.76445,201.910004,194.688507,115.036819,212.925476,310.386597,92.180176,69.845253,73.874138,132.603897,274.58313,30.654879,130.587189,53.168827,31.351864,290.52597,311.124512,109.13192,41.530762,198.472107
1/2/2020,66.849075,157.109756,94.1875,67.284546,44.532665,206.339996,66.966499,42.834278,244.226349,105.850685,123.544556,192.470001,177.848846,105.1437,203.348038,285.528595,80.30706,74.88665,66.196205,119.774605,245.303619,26.611759,121.401421,48.698635,28.42326,267.342438,288.882111,102.64064,36.339222,180.106216
1/3/2020,62.333187,153.35759,97.486,65.711891,34.933334,182.830002,58.140499,32.071678,238.881271,82.075073,121.235153,166.800003,157.881332,102.144363,174.288986,237.630646,63.071159,66.568817,66.524757,132.41304,213.342712,19.823423,110.431801,40.286301,27.759886,271.708282,281.729645,108.302635,35.774982,154.33345
1/4/2020,72.018112,174.264236,123.699997,72.861427,52.125332,187.360001,67.432999,39.251274,281.370728,87.298782,138.718246,204.710007,175.127548,109.452324,206.578583,270.497162,80.079315,71.819885,69.166588,147.609238,248.558151,22.599874,122.461845,42.145813,32.624664,288.73703,332.730164,116.374184,38.568909,175.06369
1/5/2020,77.935478,178.192703,122.1185,88.501663,55.666668,185.580002,71.445999,38.406616,293.280884,89.633667,137.525589,225.089996,191.315491,108.359444,233.501541,296.453278,79.818169,82.175301,70.369637,145.996033,266.539795,22.665655,121.776833,42.871349,32.480087,294.621185,347.15567,118.777298,43.932323,173.906311
1/6/2020,89.664162,198.444717,137.940994,94.706398,71.987335,178.509995,70.680496,38.505516,283.756653,86.64003,130.919617,227.070007,189.604034,111.771393,235.409164,291.339752,78.808472,87.061325,67.414322,157.453247,288.813171,22.317966,122.434067,41.034538,28.088068,289.59729,360.229034,115.184013,42.848255,173.32756
1/7/2020,104.470558,199.907379,158.233994,105.892815,95.384003,195.779999,74.148003,36.232391,292.544037,89.016518,135.695389,253.669998,186.885147,122.568085,250.975891,303.980621,74.136299,84.161636,70.50721,144.132355,292.842651,23.542883,128.422028,43.779819,33.052872,310.915253,411.807739,124.434875,43.270859,182.544998
1/8/2020,126.866913,219.916672,172.548004,133.424103,166.106674,218.039993,81.709,34.389759,301.983734,93.185776,142.817169,293.200012,208.076599,130.123795,269.457153,353.379608,74.12748,85.960754,74.927101,142.310196,320.94812,24.356667,130.660965,45.902084,32.777443,332.76593,426.759857,133.522308,39.093143,200.622849
1/9/2020,114.065002,205.590759,157.436493,134.980362,143.003326,212.940002,73.480003,30.1425,301.230133,89.53981,139.52243,261.899994,196.575211,130.744675,262.527832,333.62854,64.507599,78.618584,72.888504,142.647308,336.822174,22.795341,129.298935,45.753792,31.832024,339.791412,439.234985,135.094742,36.472729,207.438797
1/10/2020,107.219734,197.907852,151.807495,125.076668,129.346664,201.899994,81.050499,28.641079,296.039124,91.186066,128.492218,263.109985,178.625214,128.966782,253.458755,284.763672,62.267746,76.383621,66.568001,125.724701,326.187897,22.58252,125.239395,44.900291,30.773848,342.299225,470.911743,133.974655,33.241207,201.30513
1/11/2020,117.256218,209.24649,158.401993,133.733444,189.199997,228.910004,88.037003,33.478985,326.308563,110.656441,135.586426,276.970001,206.779007,131.357132,263.627197,332.37738,78.107925,95.146698,71.152802,140.363342,374.654785,26.832228,135.518631,48.207558,35.022808,375.706818,462.809784,147.531448,40.201309,205.501373
1/12/2020,130.916153,217.977524,162.846497,130.275757,235.223328,231.869995,87.594002,37.065262,340.220856,119.283295,148.513046,273.160004,215.340698,131.612503,252.423004,352.556458,76.77533,97.484871,72.40078,163.547668,408.49292,28.880852,139.342819,51.636265,33.997597,361.331451,463.606018,139.188797,41.817955,204.003738
1/1/2021,130.195908,227.326981,160.309998,129.662888,264.51001,227.869995,91.787003,40.320381,324.795197,120.785255,153.939072,258.329987,190.255524,121.273804,258.767853,312.40567,77.457184,93.236122,68.752968,201.451126,423.876007,28.428055,129.235489,45.337097,33.157116,346.832794,507.557922,136.15065,41.659092,197.595932
1/2/2021,119.638954,227.738602,154.6465,136.897293,225.166672,240.509995,101.843002,48.889809,323.471008,139.14653,149.532211,257.619995,209.098938,117.551804,246.843277,349.94751,90.912201,99.168106,64.783188,198.467667,442.101257,33.279526,122.251808,46.128021,31.267746,325.743134,448.188446,125.907104,42.270145,195.979721
1/3/2021,120.697136,231.593079,154.703995,133.241409,222.643326,255.470001,103.431503,51.055202,362.271576,143.930634,156.057449,294.529999,208.772766,128.875885,291.665649,352.123199,96.613518,99.609924,68.770805,181.719803,436.258301,37.095493,133.853378,49.630699,33.825924,347.566925,454.461975,131.634567,48.713821,214.403671
1/4/2021,129.896408,247.712326,173.371002,149.875656,236.479996,274.950012,120.505997,52.344616,389.677124,145.424515,154.519196,325.079987,230.297882,126.963165,311.203918,377.846375,95.027733,102.62896,67.044235,177.780365,432.59436,39.052681,137.507126,51.249557,36.08535,366.903564,468.524231,136.154663,47.960178,225.825027
1/5/2021,123.127892,245.256622,161.153503,162.207596,208.406662,289.440002,120.578003,53.377975,402.49707,156.20047,160.710205,328.730011,224.12532,129.144974,306.627258,357.02652,95.691544,105.460548,68.295128,194.287079,447.88974,40.844883,141.112701,52.493294,36.160038,373.796448,467.796814,138.217773,50.19215,223.730133
